x,y,z,pitch,yaw,roll,state,trigger,type
0.07428744,1.638614,-0.005423206,-7.011871,-10.16388,-0.4178467,0,0,Icon
0.07424234,1.638616,-0.005960591,-7.019409,-10.13855,-0.4541626,0,0,Icon
0.0746984,1.638865,-0.00638841,-7.131622,-9.984985,-0.4883118,0,0,Icon
0.07461971,1.63891,-0.006485961,-7.167847,-10.03192,-0.4761963,0,0,Icon
0.07423818,1.638747,-0.006353657,-7.099243,-10.13058,-0.4165039,0,0,Icon
0.07428379,1.638635,-0.005808943,-7.250122,-9.865051,-0.4387207,0,0,Icon
0.07550869,1.638637,-0.004667274,-7.236542,-8.992126,-0.289032,0,0,Icon
0.07878065,1.638706,-0.002906072,-7.36496,-7.091064,-0.4173889,0,0,Icon
0.08268429,1.638934,-0.001302617,-7.551208,-4.859192,-0.6947327,0,0,Icon
0.08697831,1.638832,0.0002813836,-7.544647,-2.226105,-0.8812866,0,0,Icon
0.08956897,1.638383,0.001254091,-7.380188,-0.6552734,-0.9476318,0,0,Icon
0.09038644,1.638083,0.002030659,-7.248779,-0.5170288,-1.081757,0,0,Icon
0.08997521,1.63814,0.002756451,-7.174072,-0.7393799,-1.001343,0,0,Icon
0.08908778,1.637621,0.003409415,-7.038605,-1.455353,-0.9190063,0,0,Icon
0.08749121,1.637472,0.003765933,-6.914917,-2.545044,-1.012451,0,0,Icon
0.08340325,1.637499,0.003911612,-6.990417,-4.631348,-0.963501,0,0,Icon
0.0796276,1.637945,0.003778752,-7.306488,-6.195007,-0.5424805,0,0,Icon
0.07702805,1.637625,0.00361312,-7.283081,-6.9823,-0.138916,0,0,Icon
0.07574204,1.637431,0.003872223,-7.161346,-7.241241,-0.1604309,0,0,Icon
0.07563674,1.63694,0.004056473,-7.017456,-7.311218,-0.06948853,0,0,Icon
0.07703239,1.636908,0.004076533,-7.031525,-6.63678,-0.2373657,0,0,Icon
0.08148665,1.637403,0.00432084,-7.400696,-3.764618,-0.02493286,0,0,Icon
0.08589531,1.637783,0.004530717,-7.696564,-1.018036,-0.2785034,0,0,Icon
0.09091796,1.638371,0.004285909,-8.091125,2.299343,-0.2112122,0,0,Icon
0.09678615,1.638792,0.003857198,-8.564056,6.924906,0.3260067,0,0,Icon
0.1003932,1.639218,0.002899783,-8.866638,9.30955,0.239017,0,0,Icon
0.102324,1.639694,0.00194171,-9.030762,10.08814,0.280834,0,0,Icon
0.1025275,1.639634,0.0014928,-8.94165,9.641885,0.3173896,0,0,Icon
0.1012735,1.639207,0.00158275,-8.649689,8.050608,0.04895904,0,0,Icon
0.09530496,1.638535,0.002062774,-8.206818,2.757231,-0.3155212,0,0,Icon
0.08722416,1.638279,0.001464721,-7.981812,-4.28772,-0.6486816,0,0,Icon
0.0809082,1.637928,-0.0005459759,-7.880371,-9.055847,-0.8231506,0,0,Icon
0.07519266,1.638112,-0.004098384,-8.143158,-13.36816,-1.017548,0,0,Icon
0.06973038,1.638674,-0.008105463,-8.662506,-17.47015,-1.017181,0,0,Icon
0.06534268,1.638969,-0.01163893,-8.928162,-20.35425,-0.6430359,0,0,Icon
0.06245128,1.638778,-0.01434851,-8.929016,-21.77905,-0.3508606,0,0,Icon
0.06045468,1.639062,-0.01618816,-9.187469,-22.54602,-0.3104553,0,0,Icon
0.05812051,1.639116,-0.01759432,-9.165253,-23.37625,-0.1772156,0,0,Icon
0.05683777,1.638591,-0.01834464,-8.89856,-23.73602,0.1009711,0,0,Icon
0.05730423,1.638215,-0.01823445,-8.699524,-23.22678,-0.006134033,0,0,Icon
0.05826094,1.638177,-0.01775444,-8.772858,-22.58777,-0.1648254,0,0,Icon
0.05913303,1.638219,-0.01703336,-8.795013,-21.93118,-0.3617554,0,0,Icon
0.05948814,1.638134,-0.01593742,-8.757263,-21.34479,-0.4833374,0,0,Icon
0.05926303,1.6381,-0.01435981,-8.685455,-20.65707,-0.5686035,0,0,Icon
0.06011876,1.637681,-0.01204577,-8.50235,-19.28027,-0.3955994,0,0,Icon
0.06252372,1.63741,-0.009239606,-8.302155,-16.50809,-0.3373413,0,0,Icon
0.06621663,1.637233,-0.006487913,-8.371368,-13.18478,-0.2727051,0,0,Icon
0.07068328,1.637576,-0.004116359,-8.530579,-9.736847,-0.1393127,0,0,Icon
0.07494272,1.637571,-0.002054116,-8.611969,-7.08374,-0.3325195,0,0,Icon
0.07786266,1.637573,-0.0004214259,-8.467743,-5.477997,-0.5154724,0,0,Icon
0.08043439,1.637789,0.0009605172,-8.60144,-3.97876,-0.6541138,0,0,Icon
0.08284819,1.637427,0.001826495,-8.33725,-3.221008,-0.6158142,0,0,Icon
0.08578612,1.636775,0.002028825,-8.166901,-2.302002,-0.7602844,0,0,Icon
0.08871395,1.636255,0.002076143,-7.948212,-1.177094,-0.7512817,0,0,Icon
0.09166294,1.634865,0.001870729,-7.402771,-0.3407593,-0.7417603,0,0,Icon
0.09400193,1.633258,0.002390801,-6.925537,0.5045639,-0.891571,0,0,Icon
0.09612359,1.631256,0.003803722,-6.234955,1.248843,-1.07373,0,0,Icon
0.09789471,1.627653,0.007354104,-5.351685,1.608335,-0.7868347,0,0,Icon
0.1003055,1.623192,0.01260406,-4.353729,1.781496,-0.884491,0,0,Icon
0.1031722,1.618847,0.0180572,-3.520599,2.42285,-0.8907471,0,0,Icon
0.1055008,1.616281,0.02124309,-3.241272,2.882657,-1.116425,0,0,Icon
0.1083065,1.614988,0.02257579,-3.199524,3.808195,-1.05069,0,0,Icon
0.1121803,1.614228,0.02264824,-2.988495,5.919503,-0.6488647,0,0,Icon
0.1168489,1.614779,0.02130374,-3.408356,8.25471,-0.4661865,0,0,Icon
0.1202318,1.615302,0.01987739,-3.710663,9.671121,-0.5271301,0,0,Icon
0.122775,1.61619,0.01899374,-4.206879,10.57682,-0.3756714,0,0,Icon
0.1240921,1.616746,0.01913855,-4.492004,11.06604,-0.5018616,0,0,Icon
0.1238882,1.616855,0.02096181,-4.605865,10.72426,-0.6312866,0,0,Icon
0.1221767,1.616049,0.02428607,-4.237091,9.522571,-0.7236938,0,0,Icon
0.1185068,1.616348,0.02669783,-4.092957,7.39754,-1.015076,0,0,Icon
0.1123493,1.617235,0.02719863,-4.537842,4.168323,-1.218231,0,0,Icon
0.1070543,1.618014,0.02574838,-4.967926,1.656425,-1.309692,0,0,Icon
0.1024462,1.618765,0.02318102,-5.319031,-0.1295166,-1.298553,0,0,Icon
0.09853689,1.619638,0.02036887,-5.735504,-1.377869,-1.264282,0,0,Icon
0.09487573,1.620067,0.01781871,-5.840759,-2.385254,-1.214355,0,0,Icon
0.09140317,1.620259,0.01522897,-5.949097,-3.406647,-1.256622,0,0,Icon
0.08848795,1.620444,0.01238694,-6.149872,-4.188354,-1.075653,0,0,Icon
0.08694522,1.620855,0.01010428,-6.288025,-4.407776,-0.8165894,0,0,Icon
0.08589347,1.621457,0.008279976,-6.599854,-4.602783,-0.8093567,0,0,Icon
0.08497387,1.621738,0.007162468,-6.728882,-4.646729,-0.7572632,0,0,Icon
0.08450111,1.621523,0.007010114,-6.766968,-4.533783,-0.6444397,0,0,Icon
0.08414622,1.621359,0.007821715,-6.666046,-4.575775,-0.6149902,0,0,Icon
0.08335576,1.621513,0.008439402,-6.801819,-5.235962,-0.6836853,0,0,Icon
0.08086046,1.622041,0.00857195,-7.04895,-6.91806,-0.7893982,0,0,Icon
0.0781348,1.622343,0.008276476,-7.165619,-8.19458,-0.9855652,0,0,Icon
0.0749189,1.62273,0.007801191,-7.440033,-8.97406,-0.8897705,0,0,Icon
0.07086741,1.622932,0.007370228,-7.575623,-10.01654,-0.6144104,0,0,Icon
0.06629217,1.623377,0.007274622,-7.734344,-11.44437,-0.1851807,0,0,Icon
0.06300128,1.623141,0.00707414,-7.677338,-12.59418,0.3283475,1,0,Icon
0.06120679,1.623477,0.006932784,-7.682831,-13.33264,0.2941918,1,0,Icon
0.06070666,1.623726,0.00701848,-7.815643,-13.42023,0.3899477,1,0,Icon
0.06127098,1.623985,0.00763434,-7.880737,-13.1492,0.2434839,1,0,Icon
0.06151627,1.624092,0.008525379,-7.801056,-12.75623,0.1529712,1,0,Icon
0.06112214,1.623992,0.009231448,-7.846466,-12.73685,0.1328575,1,0,Icon
0.06078677,1.623768,0.0100374,-7.619995,-12.73611,0.1529658,1,0,Icon
0.06061278,1.623598,0.01040186,-7.630157,-12.67386,0.0251487,1,0,Icon
0.06033863,1.623682,0.01105651,-7.676636,-12.51456,-0.07830811,1,0,Icon
0.05947521,1.623542,0.01185896,-7.682343,-12.49399,-0.05892944,1,0,Icon
0.05851076,1.623292,0.01283669,-7.634552,-12.58429,0.1226274,1,0,Icon
0.05808425,1.622704,0.01410039,-7.388458,-12.6514,0.1684579,1,0,Icon
0.05807545,1.622298,0.01540748,-7.414886,-12.5607,0.2826004,1,0,Icon
0.05821511,1.622101,0.01659549,-7.240143,-12.61356,0.2759754,1,0,Icon
0.05872877,1.62195,0.0176559,-7.219421,-12.59354,0.2517826,1,0,Icon
0.06004152,1.622081,0.0186657,-7.258606,-12.37204,0.1106825,1,0,Icon
0.0615179,1.621952,0.01953762,-7.198059,-12.13657,-0.03207397,1,0,Icon
0.06297816,1.621751,0.02040854,-7.138489,-11.974,-0.08572388,1,0,Icon
0.06424104,1.621557,0.0212101,-7.066223,-11.9285,-0.2264099,1,0,Icon
0.06489337,1.621211,0.02156456,-6.94455,-11.81735,-0.4231873,1,0,Icon
0.06449267,1.621336,0.02236811,-7.22525,-12.03394,-0.1279602,1,0,Icon
0.06488782,1.620367,0.02356785,-6.683563,-12.33267,-0.1594238,1,0,Icon
0.06826354,1.619514,0.02493657,-6.242004,-11.41046,-0.1501465,1,0,Icon
0.07294758,1.619214,0.02635812,-6.070129,-9.881775,-0.4699402,1,0,Icon
0.0778785,1.618538,0.02792731,-5.819672,-7.903473,-0.6938782,1,0,Icon
0.08261661,1.617615,0.02954701,-5.422211,-6.171417,-0.9171448,1,0,Icon
0.08791398,1.614869,0.03201937,-4.010162,-4.209747,-1.310211,1,0,Icon
0.09262323,1.610468,0.03483715,-1.425201,-2.442078,-1.409393,1,0,Icon
0.09660706,1.605365,0.03778411,1.288437,-1.425751,-1.684265,1,0,Icon
